"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Boaz","Boaz","WI","Wisconsin","55103","Richland","55103","Richland","43.3299","-90.5277","150","160","polygon","FALSE","TRUE","America/Chicago","3","53573 53581","1840002817"
"Marquette","Marquette","WI","Wisconsin","55047","Green Lake","55047","Green Lake","43.7464","-89.1384","152","156","polygon","FALSE","TRUE","America/Chicago","3","53946 53947","1840002592"
"Endeavor","Endeavor","WI","Wisconsin","55077","Marquette","55077","Marquette","43.7163","-89.4695","461","243","polygon","FALSE","TRUE","America/Chicago","3","53930","1840000335"
"Mauston","Mauston","WI","Wisconsin","55057","Juneau","55057","Juneau","43.7995","-90.0775","4371.0","379","polygon","FALSE","TRUE","America/Chicago","3","53948","1840002230"
"Oliver","Oliver","WI","Wisconsin","55031","Douglas","55031","Douglas","46.6493","-92.1883","410","76","polygon","FALSE","TRUE","America/Chicago","3","54880","1840003911"
"Howard","Howard","WI","Wisconsin","55009","Brown","55009","Brown","44.5703","-88.0921","19634","410","polygon","FALSE","TRUE","America/Chicago","3","54313 54303","1840002345"
"Port Edwards","Port Edwards","WI","Wisconsin","55141","Wood","55141","Wood","44.3484","-89.8540","1778","131","polygon","FALSE","TRUE","America/Chicago","3","54469 54495 54494","1840002340"
"Fox Crossing","Fox Crossing","WI","Wisconsin","55139","Winnebago","55139","Winnebago","44.2236","-88.4787","10980","345","polygon","FALSE","TRUE","America/Chicago","3","54952 54956","1840038105"
"Westboro","Westboro","WI","Wisconsin","55119","Taylor","55119","Taylor","45.3608","-90.2934","145","30","polygon","FALSE","FALSE","America/Chicago","3","54490","1840025309"
"Gays Mills","Gays Mills","WI","Wisconsin","55023","Crawford","55023","Crawford","43.3220","-90.8489","518","41","polygon","FALSE","TRUE","America/Chicago","3","54631","1840002884"
"Sobieski","Sobieski","WI","Wisconsin","55083","Oconto","55083","Oconto","44.7226","-88.0659","366","112","polygon","FALSE","FALSE","America/Chicago","3","54171 54141","1840025314"
"Spooner","Spooner","WI","Wisconsin","55129","Washburn","55129","Washburn","45.8271","-91.8860","2588.0","248","polygon","FALSE","TRUE","America/Chicago","3","54801","1840002002"
"Elderon","Elderon","WI","Wisconsin","55073","Marathon","55073","Marathon","44.7843","-89.2480","179","61","polygon","FALSE","TRUE","America/Chicago","3","54427 54499 54429","1840002165"
"Big Bend","Big Bend","WI","Wisconsin","55133","Waukesha","55133","Waukesha","42.9023","-88.2122","1378","162","polygon","FALSE","TRUE","America/Chicago","3","53189 53103","1840003015"
"Lannon","Lannon","WI","Wisconsin","55133","Waukesha","55133","Waukesha","43.1522","-88.1604","1200","187","polygon","FALSE","TRUE","America/Chicago","3","53046","1840003014"
"Glen Flora","Glen Flora","WI","Wisconsin","55107","Rusk","55107","Rusk","45.4970","-90.8935","87","59","polygon","FALSE","TRUE","America/Chicago","3","54526 54563","1840024189"
